peak_time,peak_close,B_time,B_close,decay_drop_pct,E_time,box_len_bars,box_hi,box_lo,box_width_pct,touches_hi,touches_lo,prior_r2_20,outcome,cbc_mfe_pct,cbc_mae_pct
2024-05-20 22:00:00+00:00,71446.49768028979,2024-05-24 12:00:00+00:00,67118.00633486547,0.06058367430120285,2024-07-23 10:00:00+00:00,719,72009.86702916531,53757.10366535741,0.29026322671223925,38,63,0.45326833566164915,timeout,,
2024-07-27 06:00:00+00:00,68017.23001504535,2024-08-01 02:00:00+00:00,63915.222314857136,0.060308361561928585,2024-09-30 00:00:00+00:00,719,66387.02114115034,49514.97133525724,0.2911433953014653,20,18,0.7838899666630095,timeout,,
2024-10-07 00:00:00+00:00,63789.54228274003,2024-10-10 16:00:00+00:00,59572.268429490054,0.06611230779110129,2024-11-01 00:00:00+00:00,256,73600.31234203663,58953.27037555255,0.22099805476688172,62,1,0.4553085268043261,timeout,,
