B_time,B_close,E_time,box_len_bars,box_hi,box_lo,box_width_pct,entry_label,touches_hi,touches_lo,outcome,cbc_mfe_pct,cbc_mae_pct,crf_n,crf_n_long,crf_n_short,crf_wins,crf_ret_sum,crf_long_ret,crf_short_ret,crf_avg_hold_bars,peak_time,peak_close,decay_drop_pct,prior_r2_20,prior_up
2024-01-24 20:00:00+00:00,39764.89975186796,2024-03-24 18:00:00+00:00,719,73817.626270491,39530.516371987025,0.6049875913124074,big,3,5,timeout,,,2,1,1,2,0.7675356918878699,0.7270145332754023,0.040521158612467544,356.0,2024-01-24 20:00:00+00:00,39764.89975186796,,,0
2024-03-24 20:00:00+00:00,66603.37765294395,2024-05-23 18:00:00+00:00,719,72795.80246457923,56654.102514085374,0.24938913556026582,big,3,5,timeout,,,3,1,2,3,0.4502559736392774,0.2321917982056515,0.21806417543362588,235.66666666666666,2024-03-24 20:00:00+00:00,66603.37765294395,,,0
2024-05-23 20:00:00+00:00,67978.6750880981,2024-07-22 18:00:00+00:00,719,72009.86702916531,53757.10366535741,0.29026322671223925,big,3,3,timeout,,,2,1,1,2,0.42963497746440105,0.24518898036147208,0.184445997102929,349.5,2024-05-23 20:00:00+00:00,67978.6750880981,,,0
2024-07-22 20:00:00+00:00,67796.03019838601,2024-09-20 18:00:00+00:00,719,69992.7685617547,49514.97133525724,0.3427024432751315,big,3,2,timeout,,,2,1,1,2,0.4188567645237803,0.19451635351965288,0.2243404110041274,359.0,2024-07-22 20:00:00+00:00,67796.03019838601,,,0
2024-09-20 20:00:00+00:00,63093.85959122131,2024-11-19 18:00:00+00:00,719,93950.5497768172,58953.27037555255,0.4577685419028722,big,1,1,break_up,0.039755265458035594,0.05071578483009092,2,1,1,1,0.35464686971644915,0.40585721718899387,-0.05121034747254473,359.0,2024-09-20 20:00:00+00:00,63093.85959122131,,,0
2024-11-19 20:00:00+00:00,92279.09518340853,2025-01-01 00:00:00+00:00,506,108204.7049737315,90929.93476459083,0.17349839517465165,big,1,1,timeout,,,3,2,1,3,0.2655271195107256,0.1451872931855461,0.12033982632517946,166.0,2024-11-19 20:00:00+00:00,92279.09518340853,,,0
