peak_time,peak_close,B_time,B_close,decay_drop_pct,E_time,box_len_bars,box_hi,box_lo,box_width_pct,touches_hi,touches_lo,prior_r2_20,prior_up,outcome,cbc_mfe_pct,cbc_mae_pct,crf_n,crf_n_long,crf_n_short,crf_wins,crf_ret_sum,crf_long_ret,crf_short_ret,crf_avg_hold_bars
2024-03-04 16:00:00+00:00,67011.24225007686,2024-03-05 18:00:00+00:00,61378.55362519108,0.08405587533902667,2024-05-04 16:00:00+00:00,719,73817.626270491,56654.102514085374,0.26309950693984524,38,13,0.8795826199110856,1,timeout,,,2,1,1,2,0.27411624537842655,0.1054758154115756,0.16864042996685097,323.5
2024-06-05 06:00:00+00:00,71236.89465487022,2024-06-14 16:00:00+00:00,65402.6931845793,0.08189859339821823,2024-08-13 14:00:00+00:00,719,69992.7685617547,49514.97133525724,0.3427024432751315,50,49,0.7822098358319012,1,timeout,,,2,1,1,2,0.3449776245891486,0.1307782423687863,0.2141993822203623,345.5
2024-08-23 20:00:00+00:00,64355.82547166661,2024-09-01 22:00:00+00:00,57289.4762011849,0.10980123739680336,2024-10-31 20:00:00+00:00,719,73600.31234203663,52640.17645526041,0.33206677329064666,89,17,0.4345056806404532,1,break_up,0.2553110817447022,0.04561725520790369,2,1,1,2,0.27086940870914566,0.26301526153148735,0.007854147177658316,346.5
2024-12-05 02:00:00+00:00,103111.18274880902,2024-12-10 16:00:00+00:00,94570.34002042044,0.08283139132634218,2025-01-01 00:00:00+00:00,256,108204.7049737315,91533.89508196084,0.166926271508085,38,12,0.503257691384463,1,timeout,,,2,1,1,1,0.10562195129740148,-0.004776498213276126,0.11039844951067761,95.5
