max_replenish,symbol,period_start,period_end,segments,trades,trade_win_rate,segment_win_rate,sum_pnl_per_capital,return_pct,worst_segment,median_drawdown,risk_stop_rate,max_gross_units,max_abs_net_units,loser_timeout_rate,tp_rate,forced_rate,sharpe_r,max_drawdown_r,replenish_trades
1,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,78.0,0.8333333333333334,0.41509433962264153,0.165383177519447,16.5383177519447,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.6282051282051282,0.3717948717948718,21.652804931515156,-0.0048751337892813384,6
1,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,110.0,0.8545454545454545,0.6161616161616161,0.24988851463337974,24.988851463337973,-0.0032082233409265297,-0.00010000000000000026,0.0,3.0,nan,0.0,0.5636363636363636,0.43636363636363634,20.636396256240378,-0.004369582488713577,11
2,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,65.0,0.8923076923076924,0.39814814814814814,0.12644214270212614,12.644214270212615,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.5846153846153846,0.4153846153846154,26.165524768747794,-0.0032223218223034838,5
2,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,89.0,0.9101123595505618,0.4251968503937008,0.17005783212185946,17.005783212185946,-0.0009691688506358803,0.0,0.0,3.0,nan,0.0,0.5168539325842697,0.48314606741573035,25.065232018745128,-0.008834015887383941,10
2,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,81.0,0.8024691358024691,0.46875,0.17395672249121988,17.395672249121986,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5432098765432098,0.4567901234567901,14.722820284745433,-0.009421647923035301,6
2,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,68.0,0.8676470588235294,0.3904761904761905,0.12673539426710484,12.673539426710484,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.5882352941176471,0.4117647058823529,19.802751458383163,-0.0036457301584919754,5
2,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,79.0,0.8354430379746836,0.41509433962264153,0.1658528169186122,16.58528169186122,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.620253164556962,0.379746835443038,21.470335748037176,-0.0048751337892813384,6
2,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,114.0,0.8508771929824561,0.6161616161616161,0.25580863803855086,25.580863803855085,-0.0032082233409265297,-0.00010000000000000026,0.0,3.0,nan,0.0,0.5526315789473685,0.4473684210526316,20.403561662809018,-0.004369582488713577,12
3,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,66.0,0.8939393939393939,0.39814814814814814,0.12717604754867104,12.717604754867104,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.5757575757575758,0.42424242424242425,25.967365290968566,-0.0032223218223034838,5
3,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,89.0,0.9101123595505618,0.4251968503937008,0.17005783212185946,17.005783212185946,-0.0009691688506358803,0.0,0.0,3.0,nan,0.0,0.5168539325842697,0.48314606741573035,25.065232018745128,-0.008834015887383941,10
3,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,81.0,0.8024691358024691,0.46875,0.17395672249121988,17.395672249121986,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5432098765432098,0.4567901234567901,14.722820284745433,-0.009421647923035301,6
3,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,68.0,0.8676470588235294,0.3904761904761905,0.12673539426710484,12.673539426710484,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.5882352941176471,0.4117647058823529,19.802751458383163,-0.0036457301584919754,5
3,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,79.0,0.8354430379746836,0.41509433962264153,0.1658528169186122,16.58528169186122,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.620253164556962,0.379746835443038,21.470335748037176,-0.0048751337892813384,6
3,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,115.0,0.8521739130434782,0.6161616161616161,0.2590644290765847,25.906442907658473,-0.0032082233409265297,-0.00010000000000000026,0.0,3.0,nan,0.0,0.5565217391304348,0.4434782608695652,20.545105483855572,-0.004369582488713577,13
5,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,66.0,0.8939393939393939,0.39814814814814814,0.12717604754867104,12.717604754867104,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.5757575757575758,0.42424242424242425,25.967365290968566,-0.0032223218223034838,5
5,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,89.0,0.9101123595505618,0.4251968503937008,0.17005783212185946,17.005783212185946,-0.0009691688506358803,0.0,0.0,3.0,nan,0.0,0.5168539325842697,0.48314606741573035,25.065232018745128,-0.008834015887383941,10
5,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,81.0,0.8024691358024691,0.46875,0.17395672249121988,17.395672249121986,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5432098765432098,0.4567901234567901,14.722820284745433,-0.009421647923035301,6
5,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,68.0,0.8676470588235294,0.3904761904761905,0.12673539426710484,12.673539426710484,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.5882352941176471,0.4117647058823529,19.802751458383163,-0.0036457301584919754,5
5,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,79.0,0.8354430379746836,0.41509433962264153,0.1658528169186122,16.58528169186122,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.620253164556962,0.379746835443038,21.470335748037176,-0.0048751337892813384,6
5,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,115.0,0.8521739130434782,0.6161616161616161,0.2590644290765847,25.906442907658473,-0.0032082233409265297,-0.00010000000000000026,0.0,3.0,nan,0.0,0.5565217391304348,0.4434782608695652,20.545105483855572,-0.004369582488713577,13
null,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,66.0,0.8939393939393939,0.39814814814814814,0.12717604754867104,12.717604754867104,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.5757575757575758,0.42424242424242425,25.967365290968566,-0.0032223218223034838,5
null,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,89.0,0.9101123595505618,0.4251968503937008,0.17005783212185946,17.005783212185946,-0.0009691688506358803,0.0,0.0,3.0,nan,0.0,0.5168539325842697,0.48314606741573035,25.065232018745128,-0.008834015887383941,10
null,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,81.0,0.8024691358024691,0.46875,0.17395672249121988,17.395672249121986,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5432098765432098,0.4567901234567901,14.722820284745433,-0.009421647923035301,6
null,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,68.0,0.8676470588235294,0.3904761904761905,0.12673539426710484,12.673539426710484,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.5882352941176471,0.4117647058823529,19.802751458383163,-0.0036457301584919754,5
null,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,79.0,0.8354430379746836,0.41509433962264153,0.1658528169186122,16.58528169186122,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.620253164556962,0.379746835443038,21.470335748037176,-0.0048751337892813384,6
null,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,115.0,0.8521739130434782,0.6161616161616161,0.2590644290765847,25.906442907658473,-0.0032082233409265297,-0.00010000000000000026,0.0,3.0,nan,0.0,0.5565217391304348,0.4434782608695652,20.545105483855572,-0.004369582488713577,13
