segments,trades,trade_win_rate,segment_win_rate,sum_pnl_per_capital,return_pct,fee_bps_charged_sum,slippage_bps_charged_sum,worst_segment,median_drawdown,risk_stop_rate,max_gross_units,max_abs_net_units,loser_timeout_rate,tp_rate,forced_rate,signal_timeframe,execution_timeframe,execution_replay_enabled,resolved_max_loser_hold_bars,variant,flip_action,reseed_on_flip,portfolio_cum_dd,median_segment_max_dd
2593,14213,0.7571237599380849,0.824527574238334,12.73072681129822,1273.0726811298218,227408.0,71065.0,-0.0249990194840315,-0.0051645239876733,0.0,2,2,0.0,0.7870963202701752,0.2129036797298248,2h,1min,True,2880,flat_until_next_regime,close_offside_all,False,-0.03883558661764486,-0.0051645239876733
2593,15048,0.7502658160552897,0.8237562668723486,12.717667269563805,1271.7667269563804,240768.0,75240.0,-0.0651640759008427,-0.0053465648534302,0.0,4,2,0.0,0.780103668261563,0.219896331738437,2h,1min,True,2880,keep_offside_legacy,keep,True,-0.09016309538487377,-0.0053465648534302
2593,15610,0.7438821268417681,0.8064018511376784,12.34548524092046,1234.548524092046,249760.0,78050.0,-0.0675919946079375,-0.0053390387197663,0.0,2,2,0.0,0.7729660474055093,0.2270339525944907,2h,1min,True,2880,reseed_on_flip_close_offside,close_offside_all,True,-0.09259101409196901,-0.0053390387197663
