symbol,side,entry_price,exit_price,entry_time,exit_time,atr,pnl_r,pnl_usd,exit_reason,archetype,tier,evidence,bars_held,is_add_position,is_reverse,size_multiplier,atr_stop_pct,effective_stop_pct,sizing_stop_source,breakeven_locked_at_exit
BTCUSDT,SHORT,57054.489774765076,59113.153476978696,2024-05-02T02:00:00+00:00,2024-05-02T14:40:00+00:00,1029.3318511068092,-1.0226,-2058.6637,sl,bpc,global,0.5,759,False,False,1.0,0.036082,0.036082,atr,False
BTCUSDT,SHORT,58885.90282704764,60171.70566080557,2024-07-04T06:00:00+00:00,2024-07-14T05:05:00+00:00,642.9014168789648,-1.037,-1285.8028,sl,bpc,global,0.5,14344,False,False,1.0,0.021835,0.021835,atr,False
BTCUSDT,SHORT,58201.77714359143,60171.70566080557,2024-07-04T08:00:00+00:00,2024-07-14T05:05:00+00:00,660.5589174186061,-3.0539,-1969.9285,sl,bpc,default,0.0,14224,True,False,1.0,0.0,0.0,none,False
BTCUSDT,SHORT,57397.95619027303,60171.70566080557,2024-07-04T14:00:00+00:00,2024-07-14T05:05:00+00:00,723.8689923970597,-7.7936,-2773.7495,sl,bpc,default,0.0,13864,True,False,2.0,0.0,0.0,none,False
BTCUSDT,SHORT,55207.199059659026,60171.70566080557,2024-07-05T04:00:00+00:00,2024-07-14T05:05:00+00:00,882.2431553750931,-17.0384,-4964.5066,sl,bpc,default,0.0,13024,True,False,3.0,0.0,0.0,none,False
